LCH_index,step_list
LCH_186,"[56, 8, 1, 152, 161, 116, 46, 8, 24, 1, 152, 161, 46, 46, 123, 124, 44, 45]"
LCH_187,"[56, 8, 1, 152, 161, 116, 46, 123, 124, 44, 46]"
LCH_188,"[112, 112, 46, 52, 46, 46, 46, 110, 110, 113, 113, 46, 112, 112, 46, 52, 46, 46, 46, 110, 110, 113, 113, 46, 112, 112, 46, 52, 46, 46, 46, 110, 110, 113, 113, 46, 112, 112, 46, 52, 46, 46, 46, 110, 110, 113, 113, 46, 112, 112, 46, 52, 46, 46, 46, 110, 110, 113, 113, 46, 112, 112, 46]"
LCH_189,"[117, 123, 124, 55, 130, 55, 130, 126, 43, 46, 46, 46, 46, 46, 44, 54, 46, 44, 46]"
LCH_190,"[117, 123, 124, 55, 130, 55, 130, 126, 43, 46, 46, 46, 46, 46, 44, 54, 44, 46, 46, 70, 46]"
LCH_191,"[43, 46, 46, 8, 1, 86, 46]"
LCH_192,"[123, 124, 43, 46, 46, 8, 1, 50, 86]"
LCH_193,"[123, 124, 43, 46, 8, 1, 50, 86]"
LCH_194,"[110, 43, 46, 114]"
LCH_195,"[110, 43, 46, 114]"
LCH_196,"[110, 43, 46, 114, 114]"
LCH_197,"[110, 123, 124, 113, 114, 46, 113, 114, 46, 46, 113, 46]"
LCH_198,"[110, 110, 110, 113, 46, 113, 46, 113, 46, 113, 46, 113, 46, 110, 110, 110, 113, 46, 113, 46]"
LCH_199,"[110, 110, 110, 113, 46, 113, 46, 113, 46, 113, 46, 113, 46, 110, 110, 110, 113, 46, 110, 110, 113, 113, 116, 46, 43, 46, 110, 110, 113, 113, 116, 46, 43, 46, 110, 123, 124, 113, 116, 46, 43, 46, 110, 110, 110, 113, 46, 44, 46, 110, 110, 110, 113, 46, 44, 46]"
LCH_200,"[110, 110, 113, 113, 116, 46, 123, 124, 113, 113, 46, 123, 124, 44, 46, 110, 110, 113, 113, 46, 123, 124, 113, 113, 116, 46, 123, 124, 44, 46, 110, 110, 113, 113, 46, 123, 124, 113, 113, 116, 46, 123, 124, 44, 46, 110, 123, 124, 113, 114, 46, 123, 124, 113, 116, 46, 123, 124, 44, 46, 110, 110, 110, 113, 46, 123, 124, 113, 46, 123, 124, 44, 46]"
LCH_201,"[44, 46, 114, 44, 46, 46, 114]"
LCH_202,"[44, 46, 114]"
LCH_203,"[44, 46, 114]"
LCH_204,"[117, 8, 1, 152, 161, 46]"
LCH_205,"[117, 8, 1, 152, 161, 147]"
LCH_206,"[56, 8, 1, 152, 161, 117, 8, 1, 152, 161, 8, 1, 152, 161, 117, 8, 1, 152, 161, 46]"
LCH_207,"[43, 46, 152, 161, 51]"
LCH_208,"[152, 161, 43, 46, 152, 161, 50]"
LCH_209,"[119, 54]"
LCH_210,"[117, 117]"
LCH_211,"[55, 130, 55, 130, 126, 120, 117, 43, 46, 52, 52, 123, 124, 123, 124, 43, 45, 55, 130, 55, 130, 126, 120, 117, 43, 46, 52, 52, 123, 124, 123, 124, 43, 45]"
LCH_212,"[96, 14, 117, 117, 117, 128, 123, 124, 134, 123, 124, 134, 123, 124, 134, 117, 20, 153, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88, 89, 86, 88, 89, 86, 88, 89]"
LCH_213,"[96, 14, 117, 117, 117, 128, 123, 124, 134, 123, 124, 134, 123, 124, 134, 117, 20, 153, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88, 89, 86, 88, 89, 86, 88, 89]"
LCH_214,"[117, 126, 126, 120, 117, 117, 120, 117, 153, 123, 124, 117, 123, 124, 117, 43, 46, 152, 161, 46, 46, 96, 152, 161, 86, 91, 96, 152, 161, 152, 161, 86, 91]"
LCH_215,"[117, 126, 126, 120, 117, 117, 120, 117, 153, 123, 124, 117, 123, 124, 117, 43, 46, 152, 161, 46, 46, 96, 152, 161, 86, 91, 96, 152, 161, 152, 161, 86, 91]"
LCH_216,"[123, 124, 123, 124, 123, 124, 113, 113, 152, 161, 152, 161, 152, 161, 46, 52, 46, 46, 46, 86, 99, 86, 88, 88, 88, 88]"
LCH_217,"[123, 124, 123, 124, 123, 124, 117, 113, 113, 46, 52, 43, 43, 152, 161, 152, 161, 152, 161, 52, 46, 46, 46, 86, 99, 86, 88, 88, 88, 88, 123, 124, 123, 124, 117, 113, 113, 46, 52, 43, 43, 152, 161, 152, 161, 152, 161, 52, 46, 46, 46, 86, 99, 86, 88, 88, 88, 88]"
LCH_218,"[123, 124, 123, 124, 113, 113, 152, 161, 152, 161, 152, 161, 46, 52, 46, 46, 46, 86, 99, 86, 88, 88, 88, 88, 117, 117, 117, 113, 113, 152, 161, 152, 161, 152, 161, 46, 52, 46, 46, 46, 86, 88, 88, 88, 88]"
